id,premium,vacancy_name,city,salary,salary_from,salary_to,currency,experience,schedule,employment,description,skills,employer,publish_date,vacancy_url,has_test
94393799,False,Разработчик мобильного приложения Android iOS,Москва,False,,,,Нет опыта,Полный день,Частичная занятость,"Обязанности:   Разработка приложения Android и iOS,   Умение работать по ТЗ   Знание одного из стеков технологий: Dart, Flutter, Swift   Умение интерпретироваться по API   Навыки верстки приложения через Figma приветствуются.   Оптимизация и стабильность кода   Работа с БД  Требования:  техническое образование (возможно, последние курсы ВУЗ)   хорошие компетенции в сфере ИТ   Опыт разработки и публикации приложений в Google Play, App Store приветствуется   Порядочность   Умение работать в команде   Умение работать с большим объемом данных и в условиях многозадачности.   Условия:   работа без привязки к офису   Ноутбук (при необходимости), мобильный телефон (при необходимости)   Дополнительные заработки: При долгосрочном сотрудничестве есть возможность обучиться и поставить в парк собственный автомобиль для дополнительного дохода (условия будут предоставлены)  ","['Разработка ПО', 'iOS', 'Android', 'API', 'Оптимизация кода']",VKCars.ru,2024-03-07 12:00:43+03:00,https://hh.ru/vacancy/94393799,False
94369200,False,Android разработчик,Санкт-Петербург,True,100000.0,,RUB,От 1 года до 3 лет,Полный день,Полная занятость,"Наша компания ищет амбициозного и желающего добиваться целей Android разработчика, которого мы примем в нашу команду. Наша цель: развитие проекта «Bonus Money» - системы лояльности для бизнеса. Мы помогаем бизнесу автоматизировать маркетинг и вывести работу с клиентами на новый уровень. Нашими услугами уже пользуются 1000+ компаний по всей России, а это миллионы пользователей. Мы являемся лидерами продаж среди кассовых решений, например, «1C», «SetRetail», «Frontol», «iiko», «Эвотор», «МойСклад». Твои задачи:  Разрабатывать мобильные приложения Взаимодействовать со всей командой для решения поставленных задач Участвовать в принятии технических решений и планировании процесса разработки Code-review  Наши пожелания к тебе:  Уверенное знание Java Опыт разработки под Android и знание платформы  Понимание устройства клиент-серверной разработки (HTTP, REST и т.д)   Мы используем технологии: Compose, Room, Retrofit, Paging3, Koin   Понимание встроенных паттернов проектирования  Понимание архитектуры и знание преимуществ/особенностей MVC Наличие высшего технического образования будет преимуществом Опыт работы с Android Studio, понимание Gradle и Git Знание английского языка на уровне чтения тех. документации Умение тестировать свой код Уметь разбираться в чужом коде Быть активным и не бояться сложных задач Самостоятельно искать решения поставленных задач  Мы предлагаем:  Интересная работа с возможностью карьерного роста Сложные и интересные задачи Работа в офисе (в 10 минутах от ст. метро «Черная речка», г. Санкт-Петербург) График с 10:00 до 18:00 пн-пт Официальное оформление Возможность работать в технологической компании, создающей сервисы и системы, полезные людям ","['Kotlin', 'Android', 'MVP', 'Java', 'Git']",МОБИНТ,2024-03-06 20:33:07+03:00,https://hh.ru/vacancy/94369200,False
94388386,False,Android developer,Москва,False,,,,От 1 года до 3 лет,Полный день,Полная занятость,"В команду L-TECH, занимающуюся разработкой программного обеспечения для мобильных платформ, требуется Android разработчик. Молодой и дружный коллектив, много интересной работы, известные заказчики, интересные проекты. Джуниор-специалистов не рассматриваем на данную вакансию. Требования:  Опыт в разработке коммерческих Android-приложений от двух лет Опыт разработки клиент-серверных приложений обязателен Знания KOTLIN, Android SDK, Guidelines Android, Android Support Library Опыт работы с сетевыми протоколами (HTTP, JSON, XML) Знание распределенных систем контроля версий (git), баг-треккингов Приветствуется опыт работы с высоко нагруженными системами Понимание принципов проектирования реляционных БД, знание SQL Наличие завершенных коммерческих проектов, которые вы можете показать и про них рассказать  Мы предлагаем:  Работу в команде профессионалов и заинтересованных коллег Возможность расширить кругозор, набраться опыта в работе над не типовыми проектами Возможность профессионального и карьерного роста 5-ти дневную рабочую неделю Оплачиваемый отпуск и больничные Участие в больших увлекательных проектах Удобное, оборудованное всем необходимым рабочее место Достойную оплату труда ","['Android SDK', 'XML', 'Git', 'HTML5', 'Android', 'Английский язык', 'Development', 'JSON API', 'KOTLIN', 'Android Studio', 'Разработка ПО', 'Kotlin', 'JSON']",Л-ТЕХ,2024-03-07 10:42:35+03:00,https://hh.ru/vacancy/94388386,False
94230966,False,Android разработчик Junior+,Москва,True,70000.0,,RUB,От 1 года до 3 лет,Полный день,Полная занятость,"amoCRM — крупнейшая CRM система в России. Мы помогаем сотням тысяч компаний оказывать лучший сервис для своих клиентов. Мы делаем это в России, США, Европе, Латинской Америке, общаемся с нашими клиентами на 4 языках. Мы помогаем им узнавать и обращаться к своим клиентам по имени, помогаем отвечать на сообщения быстрее, не забывать про встречи или просто отвечать на почту. А “за кулисами”, amoCRM — это команда из 350-ти энергичных и смелых ребят, которым интересно делать свою работу и важно делать её хорошо. В нашем офисе мы создали такую атмосферу, в которой действительно хочется работать. Здесь тебя окружают технически сильные коллеги, готовые передать тебе свой опыт и знания. В нашей команде у тебя есть возможность действительно влиять на развитие продукта. Мы создаём все условия для твоего быстрого карьерного роста в нескольких направлениях, и с радостью поддержим тебя, если ты захочешь расти и развиваться. У нас реально из Junior-разработчика стать Middle-разработчиком за 6-10 месяцев! Мы открыты к сотрудничеству с разработчиками разного уровня. Если вам кажется, что вам не хватает опыта в разработке сложных приложений, но вы уже получили первый коммерческий опыт, откликайтесь, мы обязательно рассмотрим ваше резюме!  Что нужно делать:  проектировать и реализовывать новые фичи; дорабатывать, поддерживать и оптимизировать уже существующий функционал; участвовать в развитии продукта: от обсуждения задач до запуска их в production; проводить ревью чужого и своего кода; взаимодействовать с дизайнерами, разработчиками, менеджерами, тестировщиками и другими специалистами; постоянно развиваться, учиться, прокачивать свои знания и навыки.  Ты нам подходишь, если у тебя есть:  коммерческий опыт Android-разработки от 3-х месяцев; опыт работы с Kotlin и ты умеешь на нём работать (структуры данных, data class, sealed class, extensions и т. д.); опыт создания многопоточных приложений (в проекте используется RxJava); понимание архитектуры мобильного приложения; владение GIT; владение Android SDK; понимание принципов клиент-серверного взаимодействия; желание в перспективе 1-2 лет стать тимлидом команды. опыт работы с Dagger2.  Будет плюсом:  знание Java; знание RxJava грамотное следование принципам SOLID; знание Room и Realm; ссылка на репозиторий с Вашими OpenSource проектами; понимание разницы работы Android SDK на разных версиях Android; умение оптимизировать код; навык написания тестов (Unit, UI).  Условия работы:  работа в классном офисе в центре Москвы со всем необходимым для комфортной работы и отдыха; сильная и талантливая команда, которая может многому научить и будет рада учиться у тебя; возможность быстрого карьерного и профессионального роста; рост зарплаты несколько раз в год, если ты делаешь успехи; бесплатные какао, чай, кофе, печенье в неограниченном количестве; 50% компенсация питания в офисе; никакого дресс-кода; неформальное общение на “ты” с любым сотрудником, включая основателей компании.  Ждём ваше резюме!","['REST', 'RxJava', 'ООП', 'Dagger2', 'Android', 'MVVM', 'Java', 'Kotlin', 'Room', 'Realm', 'Android Studio', 'Git', 'Мобильные приложения']",amoCRM,2024-03-04 19:56:26+03:00,https://hh.ru/vacancy/94230966,False
94389635,False,Middle Android-разработчик,Москва,True,,380000.0,RUB,От 1 года до 3 лет,Удаленная работа,Полная занятость,"Ищем разработчика приложений на Android, который будет развивать один из продуктов Точки. Мы — финтех-компания, создаём онлайн-банк и другие сервисы для предпринимателей и предприятий. Сейчас разработчик нужен в команду Электронного бизнеса. Здесь работают над продуктами e-commerce, которые помогают предпринимателям расширять свой бизнес, автоматизировать работу менеджеров, удобно принимать платежи и многое другое. Как мы работаем  Заботимся о качестве кода: проводим ревью, всё покрываем тестами и даём обратную связь. Используем Agile, Scrumbun и OKR.  Что делать  Развивать мобильное приложение Точки, которое включает в себя мобильный банк и другие сервисы для бизнеса. Разрабатываться сервисы и продукты для сфер e-commerce и офлайн-розницы. Участвовать в рефакторинге существующего кода.  Наш стек  100% Kotlin. Coroutines, Coil, Realm, Hilt, Jetpack Navigation. Мультимодульный проект, MVVM архитектура. Новые фичи и дизайн-систему пишем на Compose. Marathon, Kaspresso и Mockito для тестов. JSON-RPC для взаимодействия с сервером. Для CI/CD используем TeamCity, Allure для контроля качества. Делаем релиз каждую неделю, поддерживаем несколько сторов.  Ты подойдёшь, если  Хорошо знаешь Kotlin и основы Java, есть опыт коммерческой Android-разработки от 3 лет. Умеешь писать понятный и аккуратный код с разумным покрытием тестами. Понимаешь классические алгоритмы и структуры данных, умеешь их применять к месту. Можешь организовать свою работу и делаешь то, что нужно, без контроля и напоминаний. Можешь быстро ориентироваться в большом объёме информации и выделять главное. Умеешь выстраивать процессы, смотреть на них со стороны и находить то, что можно улучшить или автоматизировать.  Что ждёт тебя в Точке  Официальная зарплата до 380 000 ₽. Точная сумма зависит от твоих навыков и ожиданий — обсудим их на собеседовании. Пятидневная рабочая неделя с гибким началом и окончанием дня. Удалёнка или любой офис Точки в городах присутствия. Наши офисы — это продуманные опенспейсы, где есть индивидуальные места для работы, зоны отдыха и кухни с кофе и перекусами. Ты можешь самостоятельно выбрать, где работать — ходить в офис необязательно. Понятная система развития и роста по грейдам. Бесплатное обучение: ты сможешь ездить на IT-конференции, митапы и хакатоны и проходить курсы за счёт компании. А ещё пользоваться нашей библиотекой и платформой с онлайн-курсами. После испытательного срока: бесплатная страховка здоровья со стоматологией и корпоративный психолог. Активная корпоративная жизнь: мы проводим спортивные марафоны, гастрономические вечера, музыкальные лайвы и многое другое. ","['Kotlin', 'MVVM', 'Coroutines']",Точка,2024-03-07 10:57:07+03:00,https://hh.ru/vacancy/94389635,False
94098479,False,Разработчик Android,Москва,False,,,,От 1 года до 3 лет,Полный день,Полная занятость,"Группа компаний «Триалинк» — российский разработчик, производитель и системный интегратор в области телекоммуникаций. Мы создаем широкий спектр программного обеспечения для бизнеса – от веб-приложений до программно-аппаратных комплексов и высоконагруженных облачных систем. Мы заинтересованы в активных, целеустремленных, талантливых профессионалах своего дела, которым можно доверить решение различных задач с полной уверенностью в том, что всё будет сделано на самом высоком уровне. Оперативность и качество работы — это то, за что нас ценят клиенты. В связи с увеличением количества проектов, открыт конкурс на вакансию &quot;Разработчик Android&quot;. Обязанности:  Знания Java/Kotlin; Практический опыт нативной разработки приложений под Android. Основные направления разработки - сетевое взаимодействие, геопозиционирование, bluetooth и BLE, работа с камерой, USB HID; Разрабатывать новый функционал и рефакторить существующий; Участвовать в проработке архитектуры проекта; Интеграция с внешними сервисами, обеспечение безопасности, оптимизация производительности, устранение проблем с программным обеспечением; Техническое развитие проекта, исследование новых технологий и их интеграция. Документировать результаты своей работы.  Требования:  Опыт работы на Java/Kotlin от 2 года; Практический опыт нативной разработки приложений под Android; Отличное понимание ОС Android, его архитектуры и SDK, uses-permission, функции входящих и исходящих вызовов и желание углублять свои знания; Знание принципов работы фоновых задач и сервисов в ОС Android; Опыт разработки REST API; Понимание ООП, паттернов проектирования; Опыт работы с реляционными базами данных (PostgreSQL, MySQL) Опыт написания юнит-тестов; Опыт работы с UNIX-based OS, Shell Git, Docker, Linux.  Условия:  Официальное оформление по ТК РФ в аккредитованной IT компании ; Уютный и комфортный офис в шаговой доступности от м. Тульская; Участие в интересных проектах: ты сможешь проявить себя в решении разнообразных задач; Реальные возможности карьерного роста и развития внутри компании; Участие в образовательных программах; Дружный, молодой коллектив; Поддержка во время болезни, компенсация больничного; Дополнительные выходные дни на важные события в жизни по согласованию с руководителем.  Если хочешь принять участие в разработке интересных и разнообразных проектов - предлагаем тебе присоединиться к нашей команде. Мы ждем именно тебя!",,ГК Триалинк,2024-03-01 12:33:46+03:00,https://hh.ru/vacancy/94098479,False
94230469,False,Junior Android разработчик на Kotlin,Москва,True,30000.0,,RUB,Нет опыта,Удаленная работа,Полная занятость,"Набираем в команду в том числе продвинутых студентов и выпускников технических ВУЗов на позицию android-разработчика. Можно будет принять участие как в интересных внутренних проектах компании, так и в разработке заказных проектов. Обязанности:  Мобильная разработка на Kotlin под Android. В дальнейшем разработка на Kotlin Multiplatform Mobile под Android, iOS. Работа в команде с back-end разработчиками и дизайнерами. Участие в регулярных вечерних митапах.  Требования:  Jetpack Compose. SQLight Базовые знания Git. Понимание REST API для взаимодействия с backend частью системы. Наличие практического (можно учебного) опыта разработки под Android. В качестве тестового задания надо будет собрать простейшее мобильное приложение по доставке еды по имеющемуся дизайну и API.  Условия:  Возможность научиться делать качественный продукт и понять все стадии производства. Удалённая работа с гибкий графиком (но не менее 45 часов в неделю). Возможность совмещать работу. Стажировка первые 3 месяца ЗП 30.000 рублей в месяц (чем лучше результаты, тем быстрее переход на ставку). Дальнейший рост ЗП будет по мере успехов в работе. Менторство от более опытных специалистов. ","['Kotlin', 'Git', 'Android']",Nti.team,2024-03-04 19:29:25+03:00,https://hh.ru/vacancy/94230469,True
94263130,False,Android - разработчик,Москва,False,,,,От 1 года до 3 лет,Гибкий график,Частичная занятость,"В нашу дружную и профессиональную команду ищем android- разработчика. Обязанности:-Разработка мобильных приложений.-Контроль качества выполнения задач, code review.-Участие в обсуждении процессов разработки и их оптимизации.-Оценка трудозатрат. Требования:-Коммерческий опыт разработки под Android от 2-х лет.-Опыт использования Jetpack Compose.-Знание принципов проектирования SOLID.-Знания и опыта применения Архитектуры MVVM,MVP, MVI и CleanArchitecture.-Понимание работы в фоновом режиме (Services, Workmanager).-Опыта многопоточного программирования (coroutines, RxJava2).-Опыт применения основных паттернов проектирования. Условия:-Частичная занятость (примерно 8 часов в неделю)-Гибкий график работы​​​​​​​  ",,"айФлекс, компания",2024-03-05 11:47:15+03:00,https://hh.ru/vacancy/94263130,False
94204092,False,Стажёр Android-разработчик,Калининград,False,,,,Нет опыта,Полный день,Стажировка,"Привет! Как многим уже известно, дважды в год KODE проводит стажировки по разным направлениям, после которых мы делаем офферы лучшим стажерам. В течение 4-х недель стажировки ты получишь всё для старта карьеры Android разработчика. Это прекрасная возможность для новичков не только прокачать свои скиллы, но и получить классную возможность начать карьеру в компании, занимающую 1-е место рейтинга Рунета 2023 года (в категории мобильных приложений).  KODE работает над созданием самых разных цифровых продуктов: mobile, web, backend, IoT, Conversation Design &amp; etc. Проходя стажировку у нас, начинающие специалисты получают возможность изучить изнутри предметную область и узнать всё о разработке приложений из разных сфер бизнеса - финтех, авиа, ритейл, медицина, мультимедиа и многие другие. Стажировка проходит в очном формате в Калининграде. Чем предстоит заниматься:   Посещать лекции   Выполнять домашние задания   Сделать выпускной проект   Что будет на стажировке?  Как работают Android-приложения Как мы пишем Android-приложения Clean, SOLID, разделение на слои, подходы к построению архитектуры.  MVI, MVVM, Compose. паттерны проектирования UI.  Многопоточность, Rx.  Kotlin Coroutines/Flow.  Источники данных. БД. Источники данных. Сеть.  Смело откликайтесь, если у вас есть:  Pet projects на Kotlin; Завершенные курсы\профильное образование; Поверхностные знания паттернов и архитектур; Проактивность; Умение задавать вопросы; Аналитический склад ума.  Наверняка вам будет интересно:  Есть ли тестовое задание?  Да, предложим выполнить.   С кем предстоит пообщаться до начала стажировки?   С командой менторов и тимлидом отдела   Какой график стажировки?   Занятия 2–3 раза в неделю по вечерам. Будем рады знакомству!",['Android'],KODE,2024-03-04 13:29:26+03:00,https://hh.ru/vacancy/94204092,False
94355693,False,Android-разработчик,Махачкала,True,60000.0,150000.0,RUB,От 3 до 6 лет,Полный день,Полная занятость,"Обязанности: - Проектирование и разработка нового функционала в приложении под конкретные бизнес-задачи - Поддержка текущего функционала - Работа с API Требования: - Опыт разработки приложений для Android и хорошее знание Kotlin - Понимание SDK - Понимание архитектур MVP, MVVM - Опыт разработки мобильных интерфейсов - Опыт проектирования и разработки клиент-серверных приложений - Уверенное знание принципов ООП SOLID - Способность адекватно оценить задачу и выполнить ее в срок Условия: - Оформление в соответствии с ТК РФ - Конкурентная заработная плата - Корпоративные мероприятия - Работа в профессиональной команде в одной из лучших компаний города - Развитие и карьерный рост",,VisageHall,2024-03-06 16:59:49+03:00,https://hh.ru/vacancy/94355693,False
